name,group_type,filled_at,filled_day,filled_month,filled_year,is_phishing_email_1,is_phishing_email_2,is_phishing_email_3,is_phishing_email_4,is_phishing_email_5,is_phishing_email_6,is_phishing_email_7,is_phishing_email_8,is_phishing_email_9,is_phishing_email_10,response_time_email_1,response_time_email_2,response_time_email_3,response_time_email_4,response_time_email_5,response_time_email_6,response_time_email_7,response_time_email_8,response_time_email_9,response_time_email_10,confidence_level_email_1,confidence_level_email_2,confidence_level_email_3,confidence_level_email_4,confidence_level_email_5,confidence_level_email_6,confidence_level_email_7,confidence_level_email_8,confidence_level_email_9,confidence_level_email_10,helpfulness
Rachel,word2vec,2026-06-01 13:38:00.821854+00,1,6,2026,true,true,true,true,true,true,false,false,false,false,6400,11401,20801,14400,7601,11300,19401,12101,9100,17500,5,5,3,5,5,5,5,5,5,5,4
raisa,lime,2026-06-20 09:31:30.713684+00,20,6,2026,false,false,true,true,true,false,true,false,false,false,7266,2832,3236,7254,2837,2627,6455,6154,6857,4142,5,5,3,5,5,5,5,5,4,4,3
Rania,word2vec,2026-06-03 09:40:02.91717+00,3,6,2026,true,true,true,true,true,true,false,false,false,false,2600,1900,7600,3601,5100,13101,5200,6600,3900,4000,4,5,5,5,5,3,5,5,4,4,4
regina,word2vec,2026-06-02 03:04:45.126848+00,2,6,2026,true,true,true,true,true,false,false,false,false,false,7610,33002,41405,28616,61707,31104,22613,6312,4917,3816,5,4,3,5,5,3,4,4,4,4,5
Rendi,word2vec,2026-06-02 15:46:04.780386+00,2,6,2026,true,true,true,true,true,true,false,false,false,false,8001,7800,4201,5201,8400,3701,3100,21600,4700,2800,4,5,5,5,5,5,4,3,4,4,4
Rey,word2vec,2026-06-03 02:19:14.784937+00,3,6,2026,false,true,true,true,true,false,false,false,false,false,34108,5401,8900,1101,4600,2000,1700,2300,1800,1401,3,5,3,3,3,2,4,4,5,5,5
Rita,lime,2026-06-17 13:11:05.110176+00,17,6,2026,false,true,false,true,true,true,false,false,false,false,78801,33801,72302,68600,11901,14101,62203,62600,24303,12701,4,4,4,5,5,5,5,5,5,5,1
ruby,control,2026-06-06 10:44:01.286533+00,6,6,2026,false,true,true,true,true,false,false,false,false,false,2800,36401,16201,6600,10500,13701,15900,4700,10800,3400,4,4,4,4,4,4,4,4,4,4,
Ryan,lime,2026-06-19 14:39:08.403426+00,19,6,2026,true,true,true,true,true,false,false,false,false,false,3831,4037,6429,14853,11421,24325,19012,15998,13814,13086,5,5,5,5,5,4,5,5,5,5,2
samuel,word2vec,2026-06-02 14:10:19.749569+00,2,6,2026,true,true,false,true,false,true,false,false,false,false,8500,2506,27014,8104,13303,8907,2902,3900,3606,2203,4,5,5,5,5,5,5,4,5,5,4
Samuel,lime,2026-06-08 12:24:28.551324+00,8,6,2026,true,true,true,true,true,true,false,false,false,false,25810,54806,66109,46000,37401,26502,14101,21403,16710,35108,3,5,3,5,3,4,5,5,5,5,5
Sar,word2vec,2026-06-02 15:46:25.79145+00,2,6,2026,true,true,true,true,true,false,true,true,false,false,23501,18900,13400,16900,2000,14501,13600,6901,10300,9200,5,5,4,4,4,4,1,1,3,4,4
SC,lime,2026-06-17 15:02:04.567623+00,17,6,2026,false,true,true,true,true,false,false,false,false,false,7308,7705,12101,10503,6613,2406,4610,1901,3309,1001,5,4,2,5,5,5,5,5,5,5,4
Se,word2vec,2026-06-02 12:50:24.756271+00,2,6,2026,true,true,true,true,false,false,false,false,false,false,6200,2601,4202,2900,4100,4100,3501,1801,2600,2300,4,4,4,4,4,4,5,5,5,5,5
Selin,control,2026-06-04 13:53:30.599479+00,4,6,2026,true,true,false,true,true,true,false,false,false,false,14926,25601,40423,19013,11094,16422,22072,39117,30625,26306,4,5,4,4,5,2,5,2,2,5,
Shane S.,lime,2026-06-08 11:32:49.367289+00,8,6,2026,true,true,false,true,true,true,false,false,true,true,7200,10502,21101,9300,2401,13600,3901,5704,5501,19600,4,4,4,4,5,5,4,5,1,2,4
SR,lime,2026-06-20 07:33:31.02463+00,20,6,2026,true,true,true,false,false,false,false,false,false,false,5200,15301,16700,19800,20400,13200,14100,21901,19000,11201,4,3,4,3,4,5,5,4,3,5,4
Stella,word2vec,2026-06-02 12:03:12.416095+00,2,6,2026,true,true,true,false,true,false,false,true,true,true,4433,5953,2623,2520,4130,2312,1611,2011,7057,5146,5,5,5,5,5,5,5,5,5,1,3
sultan,lime,2026-06-08 12:14:06.463549+00,8,6,2026,true,true,true,true,false,false,false,false,false,false,5806,7002,9117,8715,6002,2302,6715,7009,5202,3215,3,3,3,4,2,2,4,4,1,2,4
Sy,control,2026-06-15 13:32:55.55564+00,15,6,2026,true,true,true,true,true,true,false,false,true,false,20000,12300,12300,23601,9000,13401,13000,26601,23600,8800,4,3,5,4,5,4,3,3,2,4,
test,control,2026-06-04 06:40:30.144623+00,4,6,2026,false,true,true,true,false,true,true,true,true,false,13101,3800,500,601,502,800,4001,900,501,1501,1,1,2,5,4,4,3,5,4,5,
VAL,control,2026-06-15 09:57:35.873846+00,15,6,2026,true,true,true,true,false,true,false,false,false,false,15900,31101,29200,32902,30900,29200,23201,28201,38702,12501,4,5,5,5,4,5,5,5,3,5,
vanda,word2vec,2026-06-02 02:34:15.198345+00,2,6,2026,true,true,true,true,true,false,false,false,false,false,3935,1918,8268,7157,6254,4646,8161,7356,5654,5447,4,5,5,5,3,3,3,4,4,4,4
Vanessa,control,2026-06-08 09:35:30.666893+00,8,6,2026,true,true,true,true,true,true,false,false,false,false,5802,17201,15001,20801,13900,14600,34001,12401,11201,10201,3,3,3,3,3,3,3,3,3,3,
vincensius,lime,2026-06-08 11:07:42.818784+00,8,6,2026,true,true,true,true,true,true,false,false,true,false,22700,4000,2101,4800,2100,10901,2800,2100,2501,2300,5,5,5,5,5,4,5,5,4,3,5
Vinny Aureliya,control,2026-06-08 09:32:41.422795+00,8,6,2026,true,true,false,true,true,false,false,true,false,false,8701,14801,17801,7502,11100,4400,9802,9000,12003,6501,4,5,4,5,5,5,3,2,4,5,
W,word2vec,2026-06-01 12:42:57.029303+00,1,6,2026,true,true,true,true,true,true,false,false,true,false,6802,6700,3900,7901,2301,2101,4501,8000,2400,4701,3,3,4,4,4,3,3,3,3,3,5
Wayne Winson Tjoe,word2vec,2026-06-01 11:56:17.926014+00,1,6,2026,true,true,true,true,true,false,false,false,false,false,8100,6801,8701,7501,3101,4300,8700,6600,5500,3901,4,4,4,2,5,4,4,3,5,5,4
WE,word2vec,2026-06-03 03:24:36.974666+00,3,6,2026,true,true,true,true,true,true,true,false,false,false,14101,3113,911,1503,1501,908,1202,12003,1112,1502,3,5,5,5,4,4,2,3,4,4,4
Wita,control,2026-06-15 11:51:30.231462+00,15,6,2026,false,true,true,true,true,true,false,false,true,true,4140,1213,1213,909,707,707,708,1012,708,1007,4,5,2,4,4,3,5,4,3,4,
WPH,control,2026-06-08 11:16:38.975768+00,8,6,2026,false,true,true,true,true,false,false,false,false,false,19606,11509,5013,19312,12207,14602,5900,11303,8307,8804,4,5,4,4,5,3,5,4,4,2,
yohana,control,2026-06-02 15:23:26.472764+00,2,6,2026,true,true,false,true,false,true,true,false,false,false,11614,8711,7004,5200,5009,3210,9905,9206,4607,4914,4,5,4,4,5,3,4,3,4,4,
Zahra,control,2026-06-02 15:20:02.501164+00,2,6,2026,true,true,true,false,true,false,false,false,true,false,11901,66202,25001,27001,13701,15101,26501,13000,35300,16600,5,4,5,3,4,4,5,4,3,5,
zzz,word2vec,2026-06-03 08:37:15.994977+00,3,6,2026,true,true,true,false,true,false,true,false,false,false,13530,6767,6664,6872,9189,11116,11825,9599,7469,7481,4,4,4,4,4,1,1,4,5,4,5
